arms started going numb	298753001
massive diarrhea	62315008
hardly walk	228158008
hideously increased muscle tension	250069006
severe diarrhea	62315008
red spots all over my body	271807003
shaking	26079004
could only walk less than 100 meters	8510008
could not walk 75 feet	8510008
pain severe	76948002
pains through my hips	49218002
stiff upper leg	225609009
reduced stamina	248277009
very bad muscle pain	68962001
blurred thinking	247640008
declining physical ability	13791008
pain with stomach cramps	51197009
cortisone injection	21779011000036103
face looks puffy	278528006
rhabdomyolysis/muscle loss	88092000
muscle weakness	26544005
legs felt like they had run a marathon	80449002
vertgo	399153001
tingling in side of face	62507009
toe cramping	449917004
vit. c	77435011000036104
elevated blood pressure	38341003
alot of gas	162076009
had pains throughout my upper body	102480002
uterus starting to have spasms	29542008
armpain	102556003
sore cheek muscles	68962001
numbness in ankles and toes	309537005
cholesterol climbed	166830008
trouble concentrating	26329005
muscle loss	88092000
stomach discomfort	271681002
joint soreness	57676002
walking up the stairs was intolerable	165247006
muscle pain in shoulders	288226003
numbness hands	309521004
burning in the soles of my feet	36031001
muscle twitching in both arms	60238002
geting bad swets	162076009
tingling in muscles of upper torso	62507009
cramps in thighs	449917004
high sugar attack	166892002
chest hurt	29857009
loss of libido	8357008
fuzzy thinking	247640008
aching in legs	10601006
hip joint pain	49218002
mood change	18963009
growing depression	35489007
blood pressure had gone sky high	24184005
miocardial infarction	22298006
muscle cramps in my calf muscles	250084002
extreme fatigued	13791008
back pain	161891005
elevated levels of high cholesterol	166830008
legs began feeling very tired	80449002
severe muscle cramps	55300003
raised blood pressure	24184005
eyes get blury	246636008
ache was extreme, almost unbearable	76948002
liver enzymes were very elevated	166643006
soreness in shoulders	45326000
tightness in legs	250069006
joint pains	57676002
lack of concentration	60032008
numb feet in toe area	309539008
gi bleed	162076009
everything hurts	82991003
feet are cramping	102551008
pain throughout my body	82991003
hand tremors	26079004
severe vertigo	399153001
genitals and lips excruciating	162076009
calf pains	300954003
terrible pains in ankle	247373008
ibruprofen	21885011000036105
hip pains	49218002
noticible loss of muscle structure	88092000
slight flush	238810007
leg muscle soreness	288231001
pain in my shoulder	45326000
hand numbness	309521004
cholesterol was very high	166830008
damaging my muscles	129565002
cholesterol has been high	166830008
gets tired a lot	162076009
slightly heavier menstrual cycle	386692008
damaged my liver permanently	235856003
feel dreadful	367391008
vit c	77435011000036104
muscles are like boards they're so tight	250069006
whole body hurts	82991003
mini-strokes	230690007
cannot walk more than 5 yards	228158008
barely walk	228158008
could'nt walk	228158008
visual deficits	63102001
muscle in my angles hurt	247373008
joint pain in knee	30989003
gastric bleed	162076009
extreme leg weakness	309774006
tylenol	3080011000036109
numbness in toes	309539008
tingling in arms	62507009
lack of enthusiasm	277521002
hands tingle	309086004
legs tingling in	429783005
foggy brain	419723007
pain really bad	76948002
extreme uterine cramping	29542008
sex drive has decreased	8357008
sever abdominal cramps	51197009
mentally weaker	419723007
discomfort in right side upper and lower of stomach area	271681002
constant gas	162076009
buttocks cramps	55300003
muscle pain	68962001
pulse was high	86651002
moodiness	286641001
legs were hurting too much	10601006
charley horses	54981004
persistent triedness	267032009
live damage	235856003
terrible headaches	25064002
cramping in both calves	250084002
heart disease	56265001
heavy menstral bleeding with clots even though i had just finished my cycle a week before	386692008
stomach distress	162059005
muscles pain	68962001
severe acid reflux	698065002
cramps in my fingers	250082003
concentration is worse than ever	26329005
tiredness in leg	80449002
arthritus	3723001
thinning at the back and sides of my head	278040002
debilitating muscle pain in my back	68962001
aching in back	161891005
sore muscle	68962001
bathroom with the runs	62315008
abdominal cramps	9991008
difficult for me to get out of bed	301676004
dizziness (fainting spells)	404640003
muscle spasams in face and neck	55300003
extreme fatigue	13791008
achy legs	10601006
stomich ake	271681002
muscle aches in chest	68962001
muscles ached	68962001
blood clots in urine	34436003
stomach is still sore	271681002
lack of sex drive	248096004
pain was worse	76948002
type2 diabetes	44054006
difficulty picking my feet up	228158008
muscle pain in right hip	49218002
ache all over	82991003
very severe pains	76948002
severe joint pains	57676002
burning back pain	161891005
my feet hurt	47933007
sick at stomach	162059005
went down muscles	26544005
severe headaches	25064002
muscle pain in the shoulder	288226003
blood pressure slightly elevated	24184005
sore back	161891005
persisten feeling of tiredness	267032009
joint pain in my shoulders	267949000
gastrointestinal cramping	162076009
couldnt walk	228158008
mild nausea	422587007
loss of concentration levels	60032008
difficult to concentrate	26329005
joint ache	57676002
blurring vision	246636008
muscle spasms in leg	449917004
muscle pain in feet	47933007
legs are sore	10601006
loss of desire to do or accomplish anything	277521002
hair fell out	278040002
loss of short term memory	247592009
damaged his liver	235856003
aching muscles in back	161891005
insomia	193462001
wasting of muscles	88092000
athritic pain	57676002
burning sensations in legs	90673000
feet sore	47933007
unbearable muscle pain	68962001
lower legs hurt	10601006
blurring eyesight	246636008
cramps in left leg	449917004
weakness in the calves	309774006
can hardly walk	228158008
chest pains	29857009
thigh soreness	78514002
vision is so blurry	246636008
chest aches	29857009
cortisone shot	21779011000036103
muscle pain in left arm	288228002
migranes during sexual intercourse	37796009
aches and pains	82991003
tingling in extremities	62507009
blured vision	246636008
cholestorol which had jumped from 175 to 220	166830008
acid reflux	698065002
body stiffness	271587009
foggy	419723007
coq	77424011000036100
heavy legs	161873000
muscle fatigue	68962001
bottom of my foot is extremely tender	47933007
rise in bp	24184005
increase my heart rate	3424008
constant headaches	25064002
memory fog	386807006
dizzieness	404640003
damage to my muscles	129565002
drained	13791008
toes went into muscle spasms	102551008
leg weakness	309774006
numbness in my shoulder	298753001
cognitive impairments	386806002
aches in legs	10601006
truble remembering	386807006
heart damage	56265001
malaise	367391008
pains all over body	82991003
tingling hands	309086004
severe neuropathy	386033004
affected my balance	387603000
diminished mental acuity	419723007
ra	69896004
blurry vision	246636008
muscle pain over the entire body	68962001
elevated cpk	166717003
cramps in chest	55300003
not able to remember things like whether i had done something or where i had placed something	386807006
feelings of fatigue	84229001
bleeding	131148009
tired lower arms and legs muscel	80449002
could not walk without falling	228158008
blurred vison	246636008
hurt to get up	425423002
couldnt remember anything	386807006
tingling in my legs	429783005
